;layers;neurons;optimizer;learning_rate;epochs;batch_size;accuracy;precision;recall;f1_score
0;1;64;adam;0.01;150;16;0.68;0.74333;0.68;0.67482
1;2;48;adam;0.01;150;16;0.6;0.62;0.6;0.60549
2;1;32;adam;0.01;50;16;0.56;0.55333;0.56;0.54549
3;2;32;adam;0.01;50;16;0.6;0.588;0.6;0.57882
4;3;64;adam;0.01;100;16;0.52;0.55;0.52;0.51767
5;2;48;adam;0.005;150;16;0.56;0.56;0.56;0.55216
6;1;80;adam;0.05;200;16;0.44;0.27423;0.44;0.3301
7;1;64;adam;0.005;150;16;0.6;0.6;0.6;0.59216
8;2;32;adam;0.05;200;16;0.48;0.54;0.48;0.50167
9;1;32;adam;0.05;50;16;0.24;0.18571;0.24;0.19947
10;1;48;adam;0.05;200;16;0.4;0.44667;0.4;0.4
11;1;64;adam;0.01;200;16;0.56;0.588;0.56;0.555
12;1;32;adam;0.01;150;16;0.36;0.4019;0.36;0.37
13;1;48;adam;0.005;200;16;0.6;0.57;0.6;0.56816
14;5;64;adam;0.001;150;16;0.56;0.608;0.56;0.54549
15;1;80;adam;0.001;150;16;0.56;0.548;0.56;0.53882
16;1;64;adam;0.05;200;16;0.44;0.465;0.44;0.43056
17;1;64;adam;0.001;200;16;0.56;0.575;0.56;0.56314
18;2;48;adam;0.05;200;16;0.44;0.31855;0.44;0.35794
19;1;64;adam;0.005;200;16;0.6;0.61;0.6;0.59482
20;1;32;adam;0.01;100;16;0.52;0.528;0.52;0.51216
21;2;80;adam;0.005;200;16;0.6;0.59;0.6;0.58149
22;2;32;adam;0.01;100;16;0.52;0.58;0.52;0.54167
23;1;32;adam;0.01;200;16;0.6;0.635;0.6;0.61647
