;layers;neurons;optimizer;learning_rate;epochs;batch_size;accuracy;precision;recall;f1_score
0;1;64;RMSprop;0.01;150;16;0.6;0.588;0.6;0.5788
1;2;48;RMSprop;0.01;150;16;0.48;0.56;0.48;0.515
2;1;32;RMSprop;0.01;50;16;0.44;0.49;0.44;0.451
3;2;32;RMSprop;0.01;50;16;0.56;0.54;0.56;0.5467
4;3;64;RMSprop;0.01;100;16;0.6;0.5633;0.6;0.5615
5;2;48;RMSprop;0.005;150;16;0.52;0.56;0.52;0.5388
6;1;80;RMSprop;0.05;200;16;0.48;0.513;0.48;0.478
7;1;64;RMSprop;0.005;150;16;0.52;0.6;0.52;0.555
8;2;32;RMSprop;0.05;200;16;0.4;0.1609;0.4;0.2292
9;1;32;RMSprop;0.05;50;16;0.4;0.1609;0.4;0.2292
10;1;48;RMSprop;0.05;200;16;0.24;0.1259;0.24;0.1651
11;1;64;RMSprop;0.01;200;16;0.56;0.59;0.56;0.5577
12;1;32;RMSprop;0.01;150;16;0.52;0.54;0.52;0.5255
13;1;48;RMSprop;0.005;200;16;0.56;0.6133;0.56;0.575
14;5;64;RMSprop;0.001;150;16;0.4;0.415;0.4;0.4031
15;1;80;RMSprop;0.001;150;16;0.44;0.5;0.44;0.4617
16;1;64;RMSprop;0.05;200;16;0.24;0.1259;0.24;0.1651
17;1;64;RMSprop;0.001;200;16;0.52;0.5733;0.52;0.535
18;2;48;RMSprop;0.05;200;16;0.48;0.4883;0.48;0.4765
19;1;64;RMSprop;0.005;200;16;0.52;0.61;0.52;0.544
20;1;32;RMSprop;0.01;100;16;0.48;0.5667;0.48;0.4994
21;2;80;RMSprop;0.005;200;16;0.52;0.56;0.52;0.5388
22;2;32;RMSprop;0.01;100;16;0.52;0.54;0.52;0.5227
23;1;32;RMSprop;0.01;200;16;0.56;0.58;0.56;0.5655
