;feature_function;algorithm;c1;c2;max_iterations;min_freq;possible_states;possible_transitions;accuracy;precision;recall;f1_score
0;sequence-level;lbfgs;0.0;0.0;50;0;False;True;0.56;0.6973;0.8143;0.7392
1;sequence-level;lbfgs;0.0;0.0;50;0;True;True;0.56;0.8283;0.7329;0.7683
2;sequence-level;l2sgd;0.0;0.1;1100;4;True;True;0.2;0.6578;0.3844;0.4712
3;sequence-level;l2sgd;0.0;0.2;500;4;True;True;0.4;0.6178;0.8404;0.7075
4;sequence-level;l2sgd;0.0;0.1;1700;5;True;False;0.4;0.6178;0.8404;0.7075
5;sequence-level;l2sgd;0.0;0.1;100;1;True;True;0.44;0.3779;0.8469;0.5186
6;sequence-level;lbfgs;0.0;0.0;150;0;True;True;0.48;0.798;0.5505;0.6439
7;sequence-level;l2sgd;0.0;0.1;50;0;True;True;0.44;0.3954;0.8469;0.5355
8;sequence-level;lbfgs;0.0;0.1;50;2;True;True;0.44;0.3648;0.8469;0.5099
9;sequence-level;lbfgs;0.0;0.0;50;0;True;False;0.56;0.8283;0.7329;0.7683
10;sequence-level;lbfgs;0.0;0.0;50;0;False;False;0.56;0.6973;0.8143;0.7392
11;sequence-level;lbfgs;0.0;0.0;150;0;False;True;0.56;0.7524;0.7329;0.7351
12;sequence-level;l2sgd;0.0;0.1;100;5;False;True;0.4;0.6178;0.8404;0.7075
13;sequence-level;l2sgd;0.0;0.1;150;3;True;True;0.2;0.8221;0.3844;0.5076
14;sequence-level;l2sgd;0.0;0.1;100;2;True;True;0.44;0.3648;0.8469;0.5099
15;sequence-level;lbfgs;0.0;0.1;50;0;True;True;0.44;0.4149;0.8469;0.5537
16;sequence-level;l2sgd;0.0;0.1;1600;5;True;False;0.4;0.6178;0.8404;0.7075
17;sequence-level;lbfgs;0.0;0.0;100;0;True;True;0.48;0.798;0.5505;0.6439
18;sequence-level;lbfgs;0.2;0.0;50;0;False;True;0.52;0.5565;0.873;0.6782
19;sequence-level;lbfgs;0.2;0.0;50;0;False;False;0.52;0.5565;0.873;0.6782
20;sequence-level;l2sgd;0.0;0.1;150;0;True;True;0.44;0.4149;0.8469;0.5537
21;sequence-level;lbfgs;0.0;0.0;100;0;False;True;0.56;0.7485;0.7329;0.7307
22;sequence-level;l2sgd;0.0;0.1;1150;5;True;False;0.4;0.6178;0.8404;0.7075
23;sequence-level;lbfgs;0.0;0.1;50;1;True;True;0.44;0.3779;0.8469;0.5186
24;sequence-level;lbfgs;0.0;0.0;200;0;True;True;0.48;0.798;0.5505;0.6439
25;sequence-level;l2sgd;0.0;0.1;100;0;True;True;0.44;0.4149;0.8469;0.5537
