;layers;neurons;optimizer;learning_rate;epochs;batch_size;accuracy;precision;recall;f1_score
0;1;32;adam;0.01;50;16;0.36;0.3767;0.36;0.3333
1;1;32;adam;0.01;100;16;0.36;0.52;0.36;0.3967
2;1;32;adam;0.01;150;16;0.48;0.52;0.48;0.4827
3;1;32;adam;0.01;200;16;0.4;0.58;0.4;0.45
4;1;32;adam;0.05;50;16;0.28;0.21;0.28;0.2191
5;1;32;adam;0.05;100;16;0.24;0.2333;0.24;0.2255
6;1;32;adam;0.05;150;16;0.36;0.43;0.36;0.376
7;1;32;adam;0.05;200;16;0.24;0.3;0.24;0.2578
8;1;32;adam;0.001;50;16;0.2;0.1467;0.2;0.1475
9;1;32;adam;0.001;100;16;0.36;0.34;0.36;0.3333
10;1;32;adam;0.001;150;16;0.4;0.3733;0.4;0.3721
11;1;32;adam;0.001;200;16;0.36;0.3133;0.36;0.3198
12;1;32;adam;0.005;50;16;0.36;0.36;0.36;0.3467
13;1;32;adam;0.005;100;16;0.4;0.38;0.4;0.3733
14;1;32;adam;0.005;150;16;0.36;0.36;0.36;0.3467
15;1;32;adam;0.005;200;16;0.36;0.46;0.36;0.38
16;1;32;adam;0.0001;50;16;0.2;0.04;0.2;0.0667
17;1;32;adam;0.0001;100;16;0.2;0.0435;0.2;0.0714
18;1;32;adam;0.0001;150;16;0.12;0.0333;0.12;0.0522
19;1;32;adam;0.0001;200;16;0.12;0.0333;0.12;0.0522
20;1;32;adam;0.0005;50;16;0.16;0.0829;0.16;0.1032
21;1;32;adam;0.0005;100;16;0.24;0.1283;0.24;0.1656
22;1;32;adam;0.0005;150;16;0.4;0.3257;0.4;0.34
23;1;32;adam;0.0005;200;16;0.28;0.26;0.28;0.2533
24;1;32;rmsprop;0.01;50;16;0.32;0.2745;0.32;0.275
25;1;32;rmsprop;0.01;100;16;0.28;0.43;0.28;0.3267
26;1;32;rmsprop;0.01;150;16;0.4;0.5333;0.4;0.43
27;1;32;rmsprop;0.01;200;16;0.24;0.42;0.24;0.29
28;1;32;rmsprop;0.05;50;16;0.36;0.2476;0.36;0.2867
29;1;32;rmsprop;0.05;100;16;0.2;0.0455;0.2;0.0741
30;1;32;rmsprop;0.05;150;16;0.24;0.24;0.24;0.2311
31;1;32;rmsprop;0.05;200;16;0.36;0.38;0.36;0.3644
32;1;32;rmsprop;0.001;50;16;0.16;0.0433;0.16;0.0682
33;1;32;rmsprop;0.001;100;16;0.2;0.1689;0.2;0.1676
34;1;32;rmsprop;0.001;150;16;0.24;0.2867;0.24;0.2257
35;1;32;rmsprop;0.001;200;16;0.32;0.32;0.32;0.3091
36;1;32;rmsprop;0.005;50;16;0.28;0.2857;0.28;0.2733
37;1;32;rmsprop;0.005;100;16;0.32;0.36;0.32;0.32
38;1;32;rmsprop;0.005;150;16;0.36;0.4333;0.36;0.364
39;1;32;rmsprop;0.005;200;16;0.32;0.37;0.32;0.3333
40;1;32;rmsprop;0.0001;50;16;0.2;0.04;0.2;0.0667
41;1;32;rmsprop;0.0001;100;16;0.2;0.04;0.2;0.0667
42;1;32;rmsprop;0.0001;150;16;0.2;0.04;0.2;0.0667
43;1;32;rmsprop;0.0001;200;16;0.2;0.04;0.2;0.0667
44;1;32;rmsprop;0.0005;50;16;0.2;0.0455;0.2;0.0741
45;1;32;rmsprop;0.0005;100;16;0.16;0.0562;0.16;0.0832
46;1;32;rmsprop;0.0005;150;16;0.2;0.18;0.2;0.1733
47;1;32;rmsprop;0.0005;200;16;0.32;0.2457;0.32;0.2733
48;1;32;sgd;0.01;50;16;0.2;0.04;0.2;0.0667
49;1;32;sgd;0.01;100;16;0.2;0.04;0.2;0.0667
50;1;32;sgd;0.01;150;16;0.2;0.04;0.2;0.0667
51;1;32;sgd;0.01;200;16;0.2;0.04;0.2;0.0667
52;1;32;sgd;0.05;50;16;0.2;0.04;0.2;0.0667
53;1;32;sgd;0.05;100;16;0.2;0.04;0.2;0.0667
54;1;32;sgd;0.05;150;16;0.2;0.04;0.2;0.0667
55;1;32;sgd;0.05;200;16;0.2;0.04;0.2;0.0667
56;1;32;sgd;0.001;50;16;0.2;0.04;0.2;0.0667
57;1;32;sgd;0.001;100;16;0.2;0.04;0.2;0.0667
58;1;32;sgd;0.001;150;16;0.2;0.04;0.2;0.0667
59;1;32;sgd;0.001;200;16;0.2;0.04;0.2;0.0667
60;1;32;sgd;0.005;50;16;0.2;0.04;0.2;0.0667
61;1;32;sgd;0.005;100;16;0.2;0.04;0.2;0.0667
62;1;32;sgd;0.005;150;16;0.2;0.04;0.2;0.0667
63;1;32;sgd;0.005;200;16;0.2;0.04;0.2;0.0667
64;1;32;sgd;0.0001;50;16;0.0;0.0;0.0;0.0
65;1;32;sgd;0.0001;100;16;0.12;0.0273;0.12;0.0444
66;1;32;sgd;0.0001;150;16;0.2;0.04;0.2;0.0667
67;1;32;sgd;0.0001;200;16;0.2;0.04;0.2;0.0667
68;1;32;sgd;0.0005;50;16;0.2;0.04;0.2;0.0667
69;1;32;sgd;0.0005;100;16;0.2;0.04;0.2;0.0667
70;1;32;sgd;0.0005;150;16;0.2;0.04;0.2;0.0667
71;1;32;sgd;0.0005;200;16;0.2;0.04;0.2;0.0667
72;1;48;adam;0.01;50;16;0.36;0.44;0.36;0.3667
73;1;48;adam;0.01;100;16;0.32;0.42;0.32;0.34
74;1;48;adam;0.01;150;16;0.4;0.56;0.4;0.45
75;1;48;adam;0.01;200;16;0.4;0.5;0.4;0.41
76;1;48;adam;0.05;50;16;0.24;0.24;0.24;0.2291
77;1;48;adam;0.05;100;16;0.24;0.32;0.24;0.2567
78;1;48;adam;0.05;150;16;0.32;0.39;0.32;0.3267
79;1;48;adam;0.05;200;16;0.32;0.3933;0.32;0.32
80;1;48;adam;0.001;50;16;0.28;0.25;0.28;0.2439
81;1;48;adam;0.001;100;16;0.32;0.4;0.32;0.3267
82;1;48;adam;0.001;150;16;0.36;0.35;0.36;0.3467
83;1;48;adam;0.001;200;16;0.32;0.3;0.32;0.2958
84;1;48;adam;0.005;50;16;0.32;0.32;0.32;0.2958
85;1;48;adam;0.005;100;16;0.36;0.46;0.36;0.38
86;1;48;adam;0.005;150;16;0.32;0.5;0.32;0.37
87;1;48;adam;0.005;200;16;0.4;0.46;0.4;0.3933
88;1;48;adam;0.0001;50;16;0.2;0.04;0.2;0.0667
89;1;48;adam;0.0001;100;16;0.2;0.0476;0.2;0.0769
90;1;48;adam;0.0001;150;16;0.12;0.0333;0.12;0.0522
91;1;48;adam;0.0001;200;16;0.16;0.0571;0.16;0.0842
92;1;48;adam;0.0005;50;16;0.2;0.1067;0.2;0.139
93;1;48;adam;0.0005;100;16;0.36;0.34;0.36;0.3358
94;1;48;adam;0.0005;150;16;0.36;0.34;0.36;0.3358
95;1;48;adam;0.0005;200;16;0.4;0.48;0.4;0.4091
96;1;48;rmsprop;0.01;50;16;0.2;0.1533;0.2;0.1533
97;1;48;rmsprop;0.01;100;16;0.36;0.42;0.36;0.3558
98;1;48;rmsprop;0.01;150;16;0.28;0.3933;0.28;0.3153
99;1;48;rmsprop;0.01;200;16;0.36;0.52;0.36;0.3967
100;1;48;rmsprop;0.05;50;16;0.2;0.0455;0.2;0.0741
101;1;48;rmsprop;0.05;100;16;0.16;0.14;0.16;0.1467
102;1;48;rmsprop;0.05;150;16;0.36;0.52;0.36;0.3967
103;1;48;rmsprop;0.05;200;16;0.36;0.4;0.36;0.358
104;1;48;rmsprop;0.001;50;16;0.16;0.0444;0.16;0.0696
105;1;48;rmsprop;0.001;100;16;0.4;0.36;0.4;0.3733
106;1;48;rmsprop;0.001;150;16;0.36;0.3333;0.36;0.3267
107;1;48;rmsprop;0.001;200;16;0.36;0.3257;0.36;0.3267
108;1;48;rmsprop;0.005;50;16;0.4;0.3633;0.4;0.3707
109;1;48;rmsprop;0.005;100;16;0.36;0.46;0.36;0.38
110;1;48;rmsprop;0.005;150;16;0.32;0.44;0.32;0.35
111;1;48;rmsprop;0.005;200;16;0.44;0.58;0.44;0.486
112;1;48;rmsprop;0.0001;50;16;0.2;0.04;0.2;0.0667
113;1;48;rmsprop;0.0001;100;16;0.2;0.04;0.2;0.0667
114;1;48;rmsprop;0.0001;150;16;0.2;0.04;0.2;0.0667
115;1;48;rmsprop;0.0001;200;16;0.2;0.0455;0.2;0.0741
116;1;48;rmsprop;0.0005;50;16;0.2;0.0476;0.2;0.0769
117;1;48;rmsprop;0.0005;100;16;0.12;0.0462;0.12;0.0667
118;1;48;rmsprop;0.0005;150;16;0.24;0.1457;0.24;0.18
119;1;48;rmsprop;0.0005;200;16;0.28;0.2267;0.28;0.2291
120;1;48;sgd;0.01;50;16;0.2;0.04;0.2;0.0667
121;1;48;sgd;0.01;100;16;0.2;0.04;0.2;0.0667
122;1;48;sgd;0.01;150;16;0.2;0.04;0.2;0.0667
123;1;48;sgd;0.01;200;16;0.2;0.04;0.2;0.0667
124;1;48;sgd;0.05;50;16;0.2;0.04;0.2;0.0667
125;1;48;sgd;0.05;100;16;0.2;0.04;0.2;0.0667
126;1;48;sgd;0.05;150;16;0.2;0.04;0.2;0.0667
127;1;48;sgd;0.05;200;16;0.2;0.0455;0.2;0.0741
128;1;48;sgd;0.001;50;16;0.2;0.04;0.2;0.0667
